text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
@MrsZumbaDancer You can manage the payment options on your account here: https://t.co/POYWE5ernt. They can all be removed at any time. ^JW,FALSE,0,MrsZumbaDancer,05-07-2016 15:53,FALSE,7.50353E+17,7.50357E+17,20035218,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@heidicullinan KDP would be the best point of contact for resolving issues with a title submitted to them. Keep us posted on outcome. ^KC,FALSE,0,heidicullinan,05-07-2016 15:53,FALSE,7.50354E+17,7.50357E+17,16787108,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@LadyMockingjay I'm sorry to see this! If needed, you can see return/replacement options on the website here: https://t.co/hF7fdloC1O. ^KL",FALSE,0,LadyMockingjay,05-07-2016 15:51,FALSE,7.50354E+17,7.50356E+17,105336692,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@Marthmario I'm sorry your order arrived in that condition! Please get in touch via phone/chat https://t.co/hApLpMlfHN for options. ^DR,FALSE,0,Marthmario,05-07-2016 15:49,FALSE,7.50353E+17,7.50356E+17,2950504947,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@ronanfla83 Do you have an order that's missed the delivery date we gave? If so, what does the tracking show: https://t.co/aaDyEz1VgE? ^KL",FALSE,0,ronanfla83,05-07-2016 15:48,FALSE,7.50352E+17,7.50356E+17,467651398,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@LuLu__Cooper That is really quite odd. Give us a call/chat so we can help sort this order out for you: https://t.co/hApLpMlfHN. ^KC,FALSE,0,LuLu__Cooper,05-07-2016 15:46,FALSE,7.50351E+17,7.50355E+17,1114206260,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@robwoods007 I'm sorry for the poor experience. Were we waiting the 3 days for refund options? Has a refund been requested? ^LP,FALSE,0,robwoods007,05-07-2016 15:46,FALSE,7.5035E+17,7.50355E+17,152210237,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@ConStar24 I'm sorry for the delivery delay. Let us know when you receive it. ^MG,FALSE,1,ConStar24,05-07-2016 15:46,FALSE,7.50351E+17,7.50355E+17,109449668,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@Hollywoodkara You're welcome! ^RM,FALSE,0,Hollywoodkara,05-07-2016 15:46,FALSE,7.50352E+17,7.50355E+17,1504846711,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@SendingForSuz You can reach them here: https://t.co/3zSj8AlqJj. Sign in on the left, and select ""Contact Us"" at the top right. ^RM",FALSE,0,SendingForSuz,05-07-2016 15:45,FALSE,7.50352E+17,7.50355E+17,104273805,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
